epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
47,280.156,1.41249,2.08258,1.40608,0.00377,0.78209,0.58981,0.63481,0.60258,0.38748,0.57713,0.62116,0.57661,0.34036,1.14493,1.89603,1.62129,0.00482,0,0.00101296,0.00101296,0.00101296
48,288.68,1.30811,1.81393,1.32613,0.00378,0.93932,0.59044,0.62457,0.64594,0.41856,0.59022,0.61448,0.63842,0.3896,1.17875,1.90369,1.61571,0.00497,0,0.00101593,0.00101593,0.00101593
49,293.531,1.47167,2.03332,1.34003,0.00362,0.75724,0.59044,0.62457,0.64594,0.41856,0.59022,0.61448,0.63842,0.3896,1.17875,1.90369,1.61571,0.00497,0,0.00101811,0.00101811,0.00101811
50,299.309,1.47037,2.07716,1.36648,0.00378,0.9125,0.61504,0.63252,0.67247,0.41984,0.62263,0.62457,0.66226,0.38991,1.19922,1.97888,1.63225,0.00502,0,0.0010195,0.0010195,0.0010195
51,304.683,1.53904,2.1763,1.38433,0.00403,1.01426,0.61504,0.63252,0.67247,0.41984,0.62263,0.62457,0.66226,0.38991,1.19922,1.97888,1.63225,0.00502,0,0.00101,0.00101,0.00101
52,309.683,1.52898,2.1553,1.38387,0.00387,0.86988,0.62879,0.64164,0.67048,0.4348,0.63171,0.6314,0.66906,0.39135,1.14268,1.95531,1.61107,0.00481,0,0.0009902,0.0009902,0.0009902
53,315.759,1.28807,1.8342,1.3886,0.0038,1.12265,0.62879,0.64164,0.67048,0.4348,0.63171,0.6314,0.66906,0.39135,1.14268,1.95531,1.61107,0.00481,0,0.0009704,0.0009704,0.0009704
54,321.809,1.46967,2.08113,1.34097,0.00356,0.89343,0.62797,0.67404,0.67453,0.43197,0.61782,0.64505,0.66407,0.38456,1.15334,1.90539,1.59088,0.00489,0,0.0009506,0.0009506,0.0009506
55,327.838,1.46875,2.1088,1.28351,0.00412,0.90073,0.62797,0.67404,0.67453,0.43197,0.61782,0.64505,0.66407,0.38456,1.15334,1.90539,1.59088,0.00489,0,0.0009308,0.0009308,0.0009308
56,335.004,1.57538,2.22121,1.32634,0.00376,0.9295,0.63881,0.67606,0.68391,0.45389,0.63959,0.66553,0.67937,0.4041,1.13575,1.85289,1.54369,0.00476,0,0.000911,0.000911,0.000911
57,339.463,1.63334,2.41541,1.58967,0.00441,1.0524,0.63881,0.67606,0.68391,0.45389,0.63959,0.66553,0.67937,0.4041,1.13575,1.85289,1.54369,0.00476,0,0.0008912,0.0008912,0.0008912
58,345.026,1.33935,1.8126,1.32189,0.00424,0.80898,0.67315,0.62799,0.6918,0.45988,0.66584,0.62116,0.67827,0.42062,1.12418,1.84438,1.50946,0.00473,0,0.0008714,0.0008714,0.0008714
59,349.487,1.56207,2.15952,1.34008,0.00407,1.11653,0.67315,0.62799,0.6918,0.45988,0.66584,0.62116,0.67827,0.42062,1.12418,1.84438,1.50946,0.00473,0,0.0008516,0.0008516,0.0008516
60,354.758,1.34431,1.85552,1.27612,0.00366,0.8659,0.68571,0.63823,0.70859,0.46774,0.67471,0.62799,0.68696,0.42668,1.14265,1.8537,1.48196,0.00483,0,0.0008318,0.0008318,0.0008318
61,360.298,1.49147,2.09103,1.26713,0.00338,0.78917,0.68571,0.63823,0.70859,0.46774,0.67471,0.62799,0.68696,0.42668,1.14265,1.8537,1.48196,0.00483,0,0.000812,0.000812,0.000812
62,365.162,1.50021,2.09091,1.3442,0.00387,0.85459,0.69468,0.62116,0.71088,0.46794,0.70179,0.61775,0.70692,0.43748,1.18993,1.84208,1.45143,0.00501,0,0.0007922,0.0007922,0.0007922
63,369.942,1.31713,1.84355,1.24706,0.00394,1.03917,0.69468,0.62116,0.71088,0.46794,0.70179,0.61775,0.70692,0.43748,1.18993,1.84208,1.45143,0.00501,0,0.0007724,0.0007724,0.0007724
64,375.983,1.53309,2.13758,1.24052,0.00349,0.7265,0.6756,0.6255,0.71061,0.45716,0.67719,0.60857,0.70862,0.42526,1.23475,1.87626,1.42807,0.00519,0,0.0007526,0.0007526,0.0007526
65,380.145,1.48897,1.9555,1.30223,0.00438,0.83474,0.6756,0.6255,0.71061,0.45716,0.67719,0.60857,0.70862,0.42526,1.23475,1.87626,1.42807,0.00519,0,0.0007328,0.0007328,0.0007328
66,385.277,1.41111,1.88696,1.24322,0.0038,0.77974,0.69568,0.62457,0.72135,0.46514,0.69067,0.61726,0.71555,0.43493,1.1978,1.84198,1.38437,0.00504,0,0.000713,0.000713,0.000713
67,390.496,1.38141,1.93233,1.35364,0.0039,0.96285,0.69568,0.62457,0.72135,0.46514,0.69067,0.61726,0.71555,0.43493,1.1978,1.84198,1.38437,0.00504,0,0.0006932,0.0006932,0.0006932
68,395.494,1.38739,1.82658,1.2699,0.00351,0.74272,0.70148,0.64161,0.74597,0.47977,0.68709,0.62203,0.72345,0.4492,1.15648,1.79104,1.35106,0.00489,0,0.0006734,0.0006734,0.0006734
69,398.614,1.31639,1.79058,1.26176,0.00376,0.78067,0.70148,0.64161,0.74597,0.47977,0.68709,0.62203,0.72345,0.4492,1.15648,1.79104,1.35106,0.00489,0,0.0006536,0.0006536,0.0006536
70,403.662,1.36911,1.86109,1.17985,0.00353,0.68344,0.70557,0.65432,0.75854,0.49128,0.70396,0.64114,0.73679,0.46337,1.13778,1.77318,1.31823,0.00479,0,0.0006338,0.0006338,0.0006338
71,409.079,1.34035,1.74038,1.18242,0.00371,0.83079,0.70557,0.65432,0.75854,0.49128,0.70396,0.64114,0.73679,0.46337,1.13778,1.77318,1.31823,0.00479,0,0.000614,0.000614,0.000614
72,413.008,1.45862,1.96428,1.26874,0.0039,0.76413,0.71093,0.6631,0.77405,0.50734,0.70336,0.64739,0.75077,0.47343,1.13164,1.76676,1.28749,0.00472,0,0.0005942,0.0005942,0.0005942
73,417.36,1.44584,1.96525,1.58695,0.00445,0.75417,0.71093,0.6631,0.77405,0.50734,0.70336,0.64739,0.75077,0.47343,1.13164,1.76676,1.28749,0.00472,0,0.0005744,0.0005744,0.0005744
74,423.808,1.39525,1.95512,1.21719,0.00374,0.76535,0.71232,0.67607,0.77675,0.50351,0.69794,0.66241,0.75382,0.47612,1.16955,1.81675,1.26187,0.00479,0,0.0005546,0.0005546,0.0005546
75,428.004,1.44401,1.92157,1.2536,0.00364,0.64942,0.71232,0.67607,0.77675,0.50351,0.69794,0.66241,0.75382,0.47612,1.16955,1.81675,1.26187,0.00479,0,0.0005348,0.0005348,0.0005348
76,431.061,1.27895,1.76526,1.21206,0.00375,0.81254,0.69995,0.68942,0.77671,0.49687,0.68127,0.67577,0.75375,0.47552,1.22464,1.87983,1.25296,0.00504,0,0.000515,0.000515,0.000515
77,437.147,1.44713,2.00329,1.20853,0.00357,0.90226,0.69995,0.68942,0.77671,0.49687,0.68127,0.67577,0.75375,0.47552,1.22464,1.87983,1.25296,0.00504,0,0.0004952,0.0004952,0.0004952
78,441.517,1.24009,1.61257,1.23585,0.00384,0.63728,0.71774,0.67577,0.78313,0.49021,0.70687,0.66553,0.76288,0.47807,1.26997,1.86702,1.22161,0.00528,0,0.0004754,0.0004754,0.0004754
79,446.512,1.39485,1.90839,1.14934,0.00363,0.723,0.71774,0.67577,0.78313,0.49021,0.70687,0.66553,0.76288,0.47807,1.26997,1.86702,1.22161,0.00528,0,0.0004556,0.0004556,0.0004556
80,451.974,1.40107,1.85427,1.18636,0.00374,0.74204,0.72505,0.675,0.78512,0.49779,0.71477,0.66894,0.76642,0.48039,1.27382,1.83239,1.19107,0.00531,0,0.0004358,0.0004358,0.0004358
81,456.462,1.54334,2.09324,1.23304,0.00367,0.81652,0.72505,0.675,0.78512,0.49779,0.71477,0.66894,0.76642,0.48039,1.27382,1.83239,1.19107,0.00531,0,0.000416,0.000416,0.000416
82,460.741,1.47074,2.01684,1.19386,0.0036,0.76983,0.73763,0.66553,0.7866,0.50473,0.71638,0.6638,0.76595,0.48086,1.26895,1.80123,1.17415,0.00529,0,0.0003962,0.0003962,0.0003962
83,465.006,1.30962,1.74305,1.14787,0.00393,0.71687,0.73763,0.66553,0.7866,0.50473,0.71638,0.6638,0.76595,0.48086,1.26895,1.80123,1.17415,0.00529,0,0.0003764,0.0003764,0.0003764
84,469.634,1.4071,1.74923,1.22375,0.00384,0.64332,0.69519,0.70055,0.78893,0.51551,0.68503,0.69031,0.76778,0.481,1.23626,1.77838,1.151,0.00508,0,0.0003566,0.0003566,0.0003566
85,473.415,1.44483,1.90339,1.16207,0.00352,0.66508,0.69519,0.70055,0.78893,0.51551,0.68503,0.69031,0.76778,0.481,1.23626,1.77838,1.151,0.00508,0,0.0003368,0.0003368,0.0003368
86,478.479,1.51687,2.10982,1.29694,0.00416,0.74998,0.70462,0.70019,0.79182,0.52425,0.69432,0.68995,0.77066,0.48086,1.18451,1.76341,1.14112,0.00483,0,0.000317,0.000317,0.000317
87,484.004,1.40989,1.83404,1.16158,0.00327,0.70095,0.70462,0.70019,0.79182,0.52425,0.69432,0.68995,0.77066,0.48086,1.18451,1.76341,1.14112,0.00483,0,0.0002972,0.0002972,0.0002972
88,488.798,1.33881,1.77268,1.12635,0.0033,0.6365,0.71309,0.71672,0.79965,0.53284,0.70291,0.70648,0.78331,0.48164,1.16917,1.7611,1.12509,0.00478,0,0.0002774,0.0002774,0.0002774
89,492.892,1.49896,1.98047,1.15413,0.00353,0.75592,0.71309,0.71672,0.79965,0.53284,0.70291,0.70648,0.78331,0.48164,1.16917,1.7611,1.12509,0.00478,0,0.0002576,0.0002576,0.0002576
90,498.917,1.51263,1.97245,1.17512,0.00352,0.91716,0.72642,0.72499,0.80917,0.54056,0.71584,0.7099,0.79035,0.48582,1.16416,1.76493,1.10195,0.00472,0,0.0002378,0.0002378,0.0002378
91,508.205,1.17442,1.60575,1.12528,0.00391,0.66522,0.72642,0.72499,0.80917,0.54056,0.71584,0.7099,0.79035,0.48582,1.16416,1.76493,1.10195,0.00472,0,0.000218,0.000218,0.000218
92,516.649,1.46995,2.03349,1.19354,0.00451,0.74292,0.73901,0.7372,0.81559,0.54707,0.73562,0.71331,0.79873,0.4965,1.15638,1.75642,1.07731,0.00471,0,0.0001982,0.0001982,0.0001982
93,521.141,1.27749,1.74363,1.15182,0.00454,0.79078,0.73901,0.7372,0.81559,0.54707,0.73562,0.71331,0.79873,0.4965,1.15638,1.75642,1.07731,0.00471,0,0.0001784,0.0001784,0.0001784
94,524.051,1.29253,1.74451,1.18233,0.00469,0.8335,0.72526,0.74781,0.82006,0.55207,0.73508,0.71972,0.80267,0.50258,1.14238,1.74965,1.0677,0.00467,0,0.0001586,0.0001586,0.0001586
95,527.082,1.57073,2.22879,1.19946,0.00435,0.77813,0.72526,0.74781,0.82006,0.55207,0.73508,0.71972,0.80267,0.50258,1.14238,1.74965,1.0677,0.00467,0,0.0001388,0.0001388,0.0001388
96,531.285,1.19105,1.59705,1.15425,0.00415,0.783,0.72721,0.74605,0.82253,0.55887,0.71723,0.73581,0.80459,0.50774,1.13825,1.7451,1.04497,0.0047,0,0.000119,0.000119,0.000119
97,533.838,1.32089,1.81285,1.20759,0.00429,0.7832,0.72721,0.74605,0.82253,0.55887,0.71723,0.73581,0.80459,0.50774,1.13825,1.7451,1.04497,0.0047,0,9.92e-05,9.92e-05,9.92e-05
98,536.894,1.18891,1.63918,1.15043,0.00387,0.70273,0.72446,0.75377,0.82266,0.5618,0.71078,0.73812,0.80601,0.51128,1.13286,1.73322,1.02795,0.00468,0,7.94e-05,7.94e-05,7.94e-05
99,539.787,1.26145,1.77155,1.18796,0.0041,0.71454,0.72446,0.75377,0.82266,0.5618,0.71078,0.73812,0.80601,0.51128,1.13286,1.73322,1.02795,0.00468,0,5.96e-05,5.96e-05,5.96e-05
100,543.38,1.52041,2.17666,1.24257,0.00409,0.69765,0.72157,0.76065,0.8245,0.56081,0.71245,0.73379,0.80812,0.51749,1.12948,1.72542,1.02218,0.00467,0,3.98e-05,3.98e-05,3.98e-05
