epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
43,189.98,0.92835,1.6957,0.71931,0.92572,0,0.91446,0.86876,0.90679,0.62207,0.89647,0.83585,0.86681,0.4441,1.05323,1.84015,0.98217,0.90308,0,0.007228,0.007228,0.007228
44,193.706,1.08767,1.87694,0.70879,0.9511,0,0.94523,0.86659,0.91304,0.63331,0.92409,0.84505,0.87938,0.4644,1.03027,1.75563,0.5829,0.89644,0,0.007162,0.007162,0.007162
45,198.885,1.196,2.02045,0.67367,0.93858,0,0.94523,0.86659,0.91304,0.63331,0.92409,0.84505,0.87938,0.4644,1.03027,1.75563,0.5829,0.89644,0,0.007096,0.007096,0.007096
46,202.81,1.08224,1.78992,0.62273,0.94311,0,0.92005,0.86124,0.9098,0.58356,0.91906,0.83623,0.87646,0.42392,1.20594,1.86129,0.76336,0.92839,0,0.00703,0.00703,0.00703
47,206.552,1.13992,1.8784,0.65859,0.95226,0,0.92005,0.86124,0.9098,0.58356,0.91906,0.83623,0.87646,0.42392,1.20594,1.86129,0.76336,0.92839,0,0.006964,0.006964,0.006964
48,210.539,1.04488,1.74635,0.66455,0.94156,0,0.94198,0.88937,0.92527,0.65469,0.94049,0.85466,0.89424,0.48363,1.00542,1.73401,0.57063,0.89523,0,0.006898,0.006898,0.006898
49,215.658,1.08387,1.79479,0.64246,0.94407,0,0.94198,0.88937,0.92527,0.65469,0.94049,0.85466,0.89424,0.48363,1.00542,1.73401,0.57063,0.89523,0,0.006832,0.006832,0.006832
50,219.36,1.01842,1.74474,0.62269,0.93517,0,0.93879,0.87419,0.92182,0.63503,0.93922,0.86009,0.89438,0.44573,1.07634,1.7483,0.76947,0.91309,0,0.006766,0.006766,0.006766
51,223.015,1.02226,1.74592,0.64278,0.94864,0,0.93879,0.87419,0.92182,0.63503,0.93922,0.86009,0.89438,0.44573,1.07634,1.7483,0.76947,0.91309,0,0.0067,0.0067,0.0067
52,227.822,0.97991,1.63531,0.57347,0.91423,0,0.94991,0.88829,0.92484,0.6597,0.9488,0.86419,0.9018,0.49207,0.99191,1.69002,0.56648,0.89049,0,0.006634,0.006634,0.006634
53,231.902,0.98511,1.67108,0.59478,0.93122,0,0.94991,0.88829,0.92484,0.6597,0.9488,0.86419,0.9018,0.49207,0.99191,1.69002,0.56648,0.89049,0,0.006568,0.006568,0.006568
54,235.685,1.01696,1.6457,0.59853,0.93151,0,0.95543,0.88353,0.924,0.62563,0.94745,0.86985,0.89546,0.44074,1.10652,1.67171,0.66294,0.91059,0,0.006502,0.006502,0.006502
55,239.493,1.16162,1.85495,0.66739,0.92599,0,0.95543,0.88353,0.924,0.62563,0.94745,0.86985,0.89546,0.44074,1.10652,1.67171,0.66294,0.91059,0,0.006436,0.006436,0.006436
56,244.691,1.0637,1.72093,0.65472,0.9225,0,0.95088,0.87744,0.91565,0.64444,0.95075,0.86334,0.89499,0.50068,0.99123,1.62128,0.57257,0.8846,0,0.00637,0.00637,0.00637
57,248.46,0.95533,1.60984,0.68083,0.91537,0,0.95088,0.87744,0.91565,0.64444,0.95075,0.86334,0.89499,0.50068,0.99123,1.62128,0.57257,0.8846,0,0.006304,0.006304,0.006304
58,251.99,1.00847,1.72683,0.67936,0.92227,0,0.96777,0.87945,0.92399,0.67177,0.95622,0.87641,0.90667,0.4794,0.959,1.62438,0.71106,0.8859,0,0.006238,0.006238,0.006238
59,256.561,0.92654,1.61517,0.63179,0.90261,0,0.96777,0.87945,0.92399,0.67177,0.95622,0.87641,0.90667,0.4794,0.959,1.62438,0.71106,0.8859,0,0.006172,0.006172,0.006172
60,260.896,1.07196,1.73944,0.62339,0.92154,0,0.95118,0.86645,0.92038,0.64618,0.94257,0.85452,0.9018,0.49012,0.98941,1.60819,0.57614,0.88239,0,0.006106,0.006106,0.006106
61,264.597,1.03283,1.69061,0.62829,0.92663,0,0.95118,0.86645,0.92038,0.64618,0.94257,0.85452,0.9018,0.49012,0.98941,1.60819,0.57614,0.88239,0,0.00604,0.00604,0.00604
62,268.394,1.00915,1.70838,0.58513,0.93215,0,0.9498,0.88246,0.9234,0.65347,0.96072,0.86876,0.89683,0.47675,0.99041,1.60173,0.59893,0.88598,0,0.005974,0.005974,0.005974
63,273.703,0.95552,1.58884,0.55088,0.89841,0,0.9498,0.88246,0.9234,0.65347,0.96072,0.86876,0.89683,0.47675,0.99041,1.60173,0.59893,0.88598,0,0.005908,0.005908,0.005908
64,277.374,1.04298,1.67233,0.57824,0.89777,0,0.94923,0.89262,0.92535,0.66049,0.95281,0.87852,0.90561,0.49725,0.9916,1.58024,0.60005,0.88305,0,0.005842,0.005842,0.005842
65,281.051,1.03772,1.64392,0.572,0.89895,0,0.94923,0.89262,0.92535,0.66049,0.95281,0.87852,0.90561,0.49725,0.9916,1.58024,0.60005,0.88305,0,0.005776,0.005776,0.005776
66,285.351,1.11232,1.75625,0.6021,0.91144,0,0.95887,0.89154,0.92569,0.6435,0.94624,0.87812,0.91246,0.47475,1.01338,1.53118,0.57809,0.88569,0,0.00571,0.00571,0.00571
67,289.883,1.06297,1.68304,0.59939,0.91728,0,0.95887,0.89154,0.92569,0.6435,0.94624,0.87812,0.91246,0.47475,1.01338,1.53118,0.57809,0.88569,0,0.005644,0.005644,0.005644
68,293.557,0.9456,1.51075,0.56941,0.90315,0,0.96609,0.89608,0.92803,0.6687,0.96325,0.88124,0.91487,0.51106,0.95484,1.50634,0.55967,0.87666,0,0.005578,0.005578,0.005578
69,297.144,0.90658,1.49103,0.54749,0.90061,0,0.96609,0.89608,0.92803,0.6687,0.96325,0.88124,0.91487,0.51106,0.95484,1.50634,0.55967,0.87666,0,0.005512,0.005512,0.005512
70,302.09,1.06557,1.6433,0.59475,0.91458,0,0.96494,0.89551,0.91983,0.65348,0.95459,0.88178,0.90515,0.49796,0.99816,1.50645,0.59833,0.88531,0,0.005446,0.005446,0.005446
71,305.984,1.16613,1.7908,0.66319,0.92232,0,0.96494,0.89551,0.91983,0.65348,0.95459,0.88178,0.90515,0.49796,0.99816,1.50645,0.59833,0.88531,0,0.00538,0.00538,0.00538
72,309.642,1.01214,1.60719,0.59469,0.89971,0,0.96629,0.89696,0.93446,0.68345,0.95516,0.87785,0.91175,0.48596,0.92033,1.49802,0.5419,0.87734,0,0.005314,0.005314,0.005314
73,313.487,0.86342,1.4497,0.58503,0.89471,0,0.96629,0.89696,0.93446,0.68345,0.95516,0.87785,0.91175,0.48596,0.92033,1.49802,0.5419,0.87734,0,0.005248,0.005248,0.005248
74,318.656,0.95821,1.57109,0.55762,0.89224,0,0.97629,0.89805,0.92832,0.69244,0.96671,0.88201,0.91626,0.51881,0.88789,1.49131,0.56708,0.86913,0,0.005182,0.005182,0.005182
75,322.36,0.95216,1.59394,0.57222,0.90098,0,0.97629,0.89805,0.92832,0.69244,0.96671,0.88201,0.91626,0.51881,0.88789,1.49131,0.56708,0.86913,0,0.005116,0.005116,0.005116
76,326.093,0.95064,1.57324,0.55074,0.91226,0,0.96452,0.90347,0.93654,0.67494,0.95961,0.87419,0.90554,0.46865,0.9695,1.48527,0.54997,0.88078,0,0.00505,0.00505,0.00505
77,330.579,0.95495,1.54095,0.53833,0.88942,0,0.96452,0.90347,0.93654,0.67494,0.95961,0.87419,0.90554,0.46865,0.9695,1.48527,0.54997,0.88078,0,0.004984,0.004984,0.004984
78,334.768,0.95876,1.50043,0.55207,0.91875,0,0.97251,0.90022,0.9281,0.6981,0.96995,0.8872,0.91837,0.54398,0.87658,1.42795,0.52586,0.86398,0,0.004918,0.004918,0.004918
